team1,team2,team1_score,team2_score,season,matched_played1,total_point1,matched_played2,total_point2
u mumba,jaipur pink panthers,45.0,31.0,season 1,16.0,550.0,16.0,579.0
bengaluru bulls,dabang delhi,47.0,28.0,season 1,16.0,498.0,14.0,456.0
bengaluru bulls,puneri paltan,40.0,37.0,season 1,16.0,498.0,14.0,405.0
u mumba,bengal warriors,36.0,25.0,season 1,16.0,550.0,14.0,430.0
dabang delhi,puneri paltan,35.0,31.0,season 1,14.0,456.0,14.0,405.0
u mumba,patna pirates,36.0,33.0,season 1,16.0,550.0,16.0,504.0
bengaluru bulls,bengal warriors,46.0,30.0,season 1,16.0,498.0,14.0,430.0
jaipur pink panthers,telugu titans,46.0,32.0,season 1,16.0,579.0,14.0,497.0
bengal warriors,dabang delhi,42.0,40.0,season 1,14.0,430.0,14.0,456.0
patna pirates,telugu titans,38.0,35.0,season 1,16.0,504.0,14.0,497.0
bengal warriors,puneri paltan,38.0,35.0,season 1,14.0,430.0,14.0,405.0
jaipur pink panthers,patna pirates,40.0,18.0,season 1,16.0,579.0,16.0,504.0
u mumba,bengal warriors,38.0,29.0,season 1,16.0,550.0,14.0,430.0
telugu titans,dabang delhi,39.0,35.0,season 1,14.0,497.0,14.0,456.0
puneri paltan,bengaluru bulls,33.0,31.0,season 1,14.0,405.0,16.0,498.0
u mumba,puneri paltan,44.0,28.0,season 1,16.0,550.0,14.0,405.0
patna pirates,dabang delhi,36.0,31.0,season 1,16.0,504.0,14.0,456.0
u mumba,bengaluru bulls,45.0,34.0,season 1,16.0,550.0,16.0,498.0
jaipur pink panthers,dabang delhi,40.0,31.0,season 1,16.0,579.0,14.0,456.0
dabang delhi,bengal warriors,46.0,36.0,season 1,14.0,456.0,14.0,430.0
patna pirates,puneri paltan,35.0,27.0,season 1,16.0,504.0,14.0,405.0
bengal warriors,telugu titans,40.0,35.0,season 1,14.0,430.0,14.0,497.0
jaipur pink panthers,telugu titans,49.0,29.0,season 1,16.0,579.0,14.0,497.0
jaipur pink panthers,bengal warriors,39.0,23.0,season 1,16.0,579.0,14.0,430.0
bengaluru bulls,patna pirates,37.0,35.0,season 1,16.0,498.0,16.0,504.0
telugu titans,puneri paltan,42.0,36.0,season 1,14.0,497.0,14.0,405.0
bengaluru bulls,u mumba,33.0,30.0,season 1,16.0,498.0,16.0,550.0
puneri paltan,bengal warriors,40.0,30.0,season 1,14.0,405.0,14.0,430.0
dabang delhi,bengaluru bulls,29.0,27.0,season 1,14.0,456.0,16.0,498.0
jaipur pink panthers,puneri paltan,50.0,23.0,season 1,16.0,579.0,14.0,405.0
dabang delhi,u mumba,36.0,27.0,season 1,14.0,456.0,16.0,550.0
patna pirates,puneri paltan,37.0,31.0,season 1,16.0,504.0,14.0,405.0
jaipur pink panthers,bengal warriors,41.0,33.0,season 1,16.0,579.0,14.0,430.0
patna pirates,jaipur pink panthers,52.0,30.0,season 1,16.0,504.0,16.0,579.0
telugu titans,u mumba,44.0,43.0,season 1,14.0,497.0,16.0,550.0
bengal warriors,patna pirates,30.0,28.0,season 1,14.0,430.0,16.0,504.0
telugu titans,puneri paltan,60.0,24.0,season 1,14.0,497.0,14.0,405.0
telugu titans,dabang delhi,45.0,26.0,season 1,14.0,497.0,14.0,456.0
jaipur pink panthers,bengaluru bulls,36.0,31.0,season 1,16.0,579.0,16.0,498.0
patna pirates,bengal warriors,36.0,32.0,season 1,16.0,504.0,14.0,430.0
jaipur pink panthers,dabang delhi,41.0,31.0,season 1,16.0,579.0,14.0,456.0
telugu titans,patna pirates,32.0,29.0,season 1,14.0,497.0,16.0,504.0
jaipur pink panthers,puneri paltan,33.0,27.0,season 1,16.0,579.0,14.0,405.0
bengaluru bulls,bengal warriors,37.0,24.0,season 1,16.0,498.0,14.0,430.0
u mumba,dabang delhi,37.0,30.0,season 1,16.0,550.0,14.0,456.0
dabang delhi,puneri paltan,45.0,22.0,season 1,14.0,456.0,14.0,405.0
patna pirates,bengaluru bulls,33.0,31.0,season 1,16.0,504.0,16.0,498.0
bengaluru bulls,telugu titans,27.0,26.0,season 1,16.0,498.0,14.0,497.0
u mumba,puneri paltan,36.0,35.0,season 1,16.0,550.0,14.0,405.0
bengaluru bulls,jaipur pink panthers,30.0,29.0,season 1,16.0,498.0,16.0,579.0
jaipur pink panthers,patna pirates,38.0,18.0,season 1,16.0,579.0,16.0,504.0
u mumba,bengaluru bulls,27.0,23.0,season 1,16.0,550.0,16.0,498.0
patna pirates,bengaluru bulls,29.0,22.0,season 1,16.0,504.0,16.0,498.0
jaipur pink panthers,u mumba,35.0,24.0,season 1,16.0,579.0,16.0,550.0
u mumba,jaipur pink panthers,29.0,28.0,season 2,16.0,489.0,14.0,442.0
bengaluru bulls,bengal warriors,33.0,25.0,season 2,16.0,508.0,14.0,367.0
telugu titans,dabang delhi,36.0,27.0,season 2,16.0,586.0,14.0,396.0
u mumba,bengaluru bulls,36.0,23.0,season 2,16.0,489.0,16.0,508.0
telugu titans,puneri paltan,45.0,24.0,season 2,16.0,586.0,14.0,391.0
u mumba,patna pirates,25.0,20.0,season 2,16.0,489.0,16.0,444.0
u mumba,puneri paltan,28.0,21.0,season 2,16.0,489.0,14.0,391.0
bengal warriors,jaipur pink panthers,28.0,26.0,season 2,14.0,367.0,14.0,442.0
bengaluru bulls,patna pirates,31.0,26.0,season 2,16.0,508.0,16.0,444.0
telugu titans,bengal warriors,32.0,30.0,season 2,16.0,586.0,14.0,367.0
dabang delhi,puneri paltan,38.0,37.0,season 2,14.0,396.0,14.0,391.0
u mumba,bengal warriors,29.0,25.0,season 2,16.0,489.0,14.0,367.0
bengaluru bulls,puneri paltan,31.0,26.0,season 2,16.0,508.0,14.0,391.0
dabang delhi,bengal warriors,32.0,21.0,season 2,14.0,396.0,14.0,367.0
patna pirates,jaipur pink panthers,29.0,23.0,season 2,16.0,444.0,14.0,442.0
u mumba,telugu titans,27.0,26.0,season 2,16.0,489.0,16.0,586.0
bengaluru bulls,dabang delhi,33.0,18.0,season 2,16.0,508.0,14.0,396.0
telugu titans,jaipur pink panthers,33.0,22.0,season 2,16.0,586.0,14.0,442.0
jaipur pink panthers,bengaluru bulls,36.0,23.0,season 2,14.0,442.0,16.0,508.0
puneri paltan,bengal warriors,33.0,29.0,season 2,14.0,391.0,14.0,367.0
dabang delhi,jaipur pink panthers,35.0,27.0,season 2,14.0,396.0,14.0,442.0
telugu titans,patna pirates,34.0,22.0,season 2,16.0,586.0,16.0,444.0
bengaluru bulls,telugu titans,35.0,21.0,season 2,16.0,508.0,16.0,586.0
