Name,matched_played,total_point
Pardeep Narwal,102,1072
Rahul Chaudhari,118,996
Deepak Niwas Hooda,121,919
Ajay Thakur,115,811
Maninder Singh,77,707
Rohit Kumar,89,703
Rishank Devadiga,116,640
Kashiling Adake,92,612
Anup Kumar,91,596
Pawan Kumar Sehrawat,73,584
Manjeet Chhillar,108,563
Sandeep Narwal,118,537
Monu Goyat,68,475
Jang Kun Lee,101,469
Sachin Tanwar,63,462
Nitin Tomar,64,446
Jasvir Singh,77,412
Rajesh Narwal,92,397
Sukesh Hegde,95,395
Meraj Sheykh,94,393
Naveen Kumar,38,376
K. Prapanjan,81,369
Shrikant Jadhav,71,367
Vikash Kandola,48,367
Siddharth Sirish Desai,37,361
Prashanth Kumar Rai,91,359
Ran Singh,116,324
Ravinder Pahal,105,321
Deepak Narwal,79,309
Wazir Singh,47,300
Nilesh Salunke,77,300
Chandran Ranjit,57,295
Dharmaraj Cheralathan,114,294
Fazel Atrachali,96,294
Rohit Baliyan,66,294
Mohit Chhillar,108,284
Pawan Kumar Kadian,74,279
PO Surjeet Singh,91,275
Rajesh Mondal,89,270
Girish Maruti Ernak,102,266
Rakesh Kumar,55,260
Surender Nada,71,243
Shabeer Bappu,74,236
Amit Hooda,84,233
Jeeva Kumar,110,225
Manjeet,40,220
Rohit Gulia,56,204
Vishal Bhardwaj,57,196
Sandeep Kumar Dhull,62,196
Mahendra Ganesh Rajput,62,195
Nitesh Kumar,61,192
Vishal Mane,121,191
Deepak Kumar Dahiya,53,189
Mahesh Goud,65,189
CPO Surjeet Singh,48,184
Ajay Kumar,50,183
Kuldeep Singh,66,182
Sunil Kumar,68,182
Ravi Dalal,38,179
Parvesh Bhainswal,74,177
Jaideep,65,174
Surjeet Narwal,31,174
Nitin Madane,37,173
Vijay,55,170
Joginder Singh Narwal,76,169
Mahender Singh,61,167
More GB,44,167
Nitin Rawal,44,167
Surinder Singh,61,166
Naveen,34,160
Shrikant Tewthia,71,157
Ashish Kumar,82,156
Abozar Mohajermighani,61,156
Selvamani K,55,155
Nilesh Shinde,69,153
Abolfazl Maghsodloumahali,47,152
Abhishek Singh,30,152
Ravi Kumar,89,147
Surender Singh,48,145
Monu,50,142
Tushar Patil,53,139
Sonu Narwal,33,138
Rohit Rana,82,138
Sunil Jaipal,38,125
Farhad Rahimi Milaghardan,56,120
Sachin Shingade,75,119
Hadi Oshtorak,67,117
Jasmer Singh Gulia,52,116
Mohsen Maghsoudloujafari,45,110
C. Arun,85,109
Sunil,63,109
Vinod Kumar,45,106
D. Suresh Kumar,59,103
Gurvinder Singh,45,100
Athul MS,36,100
Pankaj Mohite,15,99
Darshan Kadian,37,96
Rohit Kumar Choudary,38,96
Bajirao Hodage,61,95
Vikas Kale,56,95
Ajinkya Ashok Pawar,31,94
Mohammad Esmaeil Nabibakhsh,18,93
Rinku Narwal,46,91
V. Ajith Kumar,15,89
Mahipal Narwal,34,87
Somvir Shekhar,61,87
Manoj Kumar,52,84
Bhupender Singh,47,83
Arjun Deshwal,19,82
Vinay,16,81
Baldev Singh,36,81
Sunil,36,80
Sachin Kumar,46,79
Vikas Jaglan,44,75
Amit Sheoran,36,72
Dong Geon Lee,32,70
Anil Kumar,50,70
Sagar B Krishna,58,70
Sandeep Kandola,16,70
Jitesh Joshi,19,69
Pravin Niwale,17,64
Jawahar Dagar,44,64
Sunil Siddhgavali,41,63
Vineet Sharma,40,63
Kuldeep Singh,35,63
Akshay Jadhav,29,62
Vinod Kumar,29,61
Neeraj Kumar,34,60
Amit Singh Chhillar,35,60
Sumit,17,60
Vishal,23,59
Sumit Singh,30,58
Prashant Chavan,41,57
Ruturaj Shivaji Koravi,36,57
Surender Gill,14,55
Rajaguru Subramanian,45,55
Shyam Kumar Sah,27,53
Rakesh Narwal,25,52
Amit Om Prakash Rathi,16,52
D. Pradap,29,51
D. Gopu,34,51
Sachin Khambe,22,51
Rakesh Singh Kumar,49,50
Parmod Narwal,35,49
Ravindra Ramesh Kumawat,18,49
Vinod Kumar,27,48
Darshan J.,29,47
Anand Patil,26,46
Harish Naik,21,45
Yogesh Hooda,21,45
Preetam Chhillar,58,45
Suraj Desai,12,45
Kalimuthu Balamahendran,23,43
Santhapanaselvam,30,43
Amit Kumar,18,43
Satpal,22,43
Narender,28,42
Saurabh Nandal,16,42
Gangadhari Mallesh,36,41
Kuldeep Singh,20,40
Sombir,29,40
Sachin Vittala,26,39
Manish,40,37
Rajnish,12,37
R. Sriram,15,36
Mohammad Esmaeil Maghsoudlou Mahalli,16,35
Suresu Kumar,21,35
Vikas Kumar,14,35
Amit Kumar,17,33
Sonu Jaglan,13,33
Mayur Shivtarkar,29,33
Pankaj,21,33
Ajit Singh,17,32
Ziaur Rahman,34,32
Vijin Thangadurai,51,32
Parveen,25,32
Ashu Singh,17,31
Sidharth,21,31
Vinoth Kumar,17,30
Shubham Shinde,23,30
Amit,31,30
Viraj Vishnu Landge,34,29
Azad Singh,13,29
Manpreet Singh,13,29
Umesh Mhatre,13,28
Mangesh Bhagat,8,28
Gurpreet Singh,18,28
Rakshith,17,28
Jadhav Balasaheb Shahaji,16,27
Wasim Sajjad,17,27
Hadi Tajik,27,27
Vikash,19,26
Pradeep Kumar,10,26
Ashish Chhokar,12,25
Anil Kumar,19,25
Rakesh Gowda,7,24
Deepak Kumar Rathee,20,24
Manoj Dhull,27,24
Armaan,10,24
Amit Nagar,12,23
