Team,Pld,W,L,D,Pts,season
Jaipur Pink Panthers,14.0,10.0,3.0,1.0,54.0,season 1
U Mumba,14.0,8.0,3.0,3.0,51.0,season 1
Bengaluru Bulls,14.0,8.0,5.0,1.0,47.0,season 1
Patna Pirates ,14.0,7.0,5.0,2.0,45.0,season 1
Telugu Titans,14.0,6.0,5.0,3.0,42.0,season 1
Dabang Delhi,14.0,5.0,8.0,1.0,32.0,season 1
Bengal Warriors,14.0,4.0,9.0,1.0,24.0,season 1
Puneri Paltan,14.0,2.0,12.0,0.0,17.0,season 1
U Mumba,14.0,12.0,2.0,0.0,60.0,season 2
Telugu Titans,14.0,8.0,3.0,3.0,50.0,season 2
Bengaluru Bulls ,14.0,9.0,5.0,0.0,48.0,season 2
Patna Pirates,14.0,7.0,6.0,1.0,41.0,season 2
Jaipur Pink Panthers,14.0,6.0,7.0,1.0,38.0,season 2
Bengal Warriors,14.0,4.0,9.0,1.0,27.0,season 2
Dabang Delhi,14.0,4.0,9.0,1.0,27.0,season 2
Puneri Paltan,14.0,2.0,11.0,1.0,21.0,season 2
U Mumba,14.0,12.0,2.0,0.0,60.0,season 3
Patna Pirates,14.0,10.0,2.0,2.0,58.0,season 3
Puneri Paltan,14.0,7.0,4.0,3.0,48.0,season 3
Bengal Warriors,14.0,9.0,5.0,0.0,47.0,season 3
Telugu Titans,14.0,7.0,7.0,0.0,38.0,season 3
Jaipur Pink Panthers,14.0,4.0,8.0,2.0,28.0,season 3
Bengaluru Bulls,14.0,2.0,12.0,0.0,14.0,season 3
Dabang Delhi,14.0,1.0,12.0,1.0,11.0,season 3
U Mumba,14.0,10.0,4.0,0.0,52.0,season 4
Telugu Titans,14.0,8.0,4.0,2.0,50.0,season 4
Jaipur Pink Panthers,14.0,8.0,5.0,1.0,47.0,season 4
Patna Pirates,14.0,7.0,6.0,1.0,42.0,season 4
Puneri Paltan,14.0,6.0,6.0,2.0,42.0,season 4
Bengaluru Bulls,14.0,5.0,8.0,1.0,32.0,season 4
Dabang Delhi,14.0,4.0,9.0,1.0,29.0,season 4
Bengal Warriors,14.0,3.0,9.0,2.0,26.0,season 4
Gujarat Fortune Giants,22.0,15.0,4.0,3.0,87.0,season 5
Puneri Paltan,22.0,15.0,7.0,0.0,80.0,season 5
Haryana Steelers,22.0,13.0,5.0,4.0,79.0,season 5
,,,,,,season 5
U Mumba,22.0,10.0,12.0,0.0,56.0,season 5
Jaipur Pink Panthers,22.0,8.0,13.0,1.0,51.0,season 5
Dabang Delhi,22.0,5.0,16.0,1.0,38.0,season 5
Bengal Warriors,22.0,11.0,5.0,6.0,77.0,season 5
Patna Pirates,22.0,10.0,7.0,5.0,71.0,season 5
UP Yoddha,22.0,8.0,10.0,4.0,60.0,season 5
,,,,,,
Bengaluru Bulls,22.0,8.0,11.0,3.0,57.0,season 5
Telugu Titans,22.0,7.0,12.0,3.0,52.0,season 5
Tamil Thalaivas,22.0,6.0,14.0,2.0,46.0,season 5
Gujarat Fortune Giants,22.0,17.0,3.0,2.0,93.0,season 6
U Mumba,22.0,15.0,5.0,2.0,86.0,season 6
Dabang Delhi,22.0,11.0,9.0,2.0,68.0,season 6
,,,,,,season 6
Puneri Paltan,22.0,8.0,12.0,2.0,52.0,season 6
Jaipur Pink Panthers,22.0,6.0,12.0,3.0,43.0,season 6
Haryana Steelers,22.0,6.0,14.0,2.0,42.0,season 6
Bengaluru Bulls,22.0,13.0,7.0,2.0,78.0,season 6
Bengal Warriors,22.0,12.0,8.0,2.0,69.0,season 6
UP Yoddha,22.0,8.0,10.0,4.0,57.0,season 6
,,,,,,season 6
Patna Pirates,22.0,9.0,11.0,2.0,55.0,season 6
Telugu Titans,22.0,8.0,13.0,1.0,51.0,season 6
Tamil Thalaivas,22.0,5.0,13.0,4.0,42.0,season 6
