team1,team2,team1_score,team2_score,season
Puneri Paltan , Telugu Titans ,28,24,season 4
U Mumba , Jaipur Pink Panthers ,36,34,season 4
Bengaluru Bulls , Bengal Warriors ,24,23,season 4
Puneri Paltan , U Mumba ,41,19,season 4
Bengal Warriors , Dabang Delhi K.C. ,31,23,season 4
Patna Pirates , Puneri Paltan ,30,24,season 4
Match Tied,,,,season 4
Jaipur Pink Panthers , Telugu Titans ,28,24,season 4
Patna Pirates , U Mumba ,36,34,season 4
Match Tied,,,,season 4
U Mumba , Dabang Delhi K.C. ,27,25,season 4
Jaipur Pink Panthers , Bengal Warriors ,36,33,season 4
Dabang Delhi K.C. , Bengaluru Bulls ,32,24,season 4
Puneri Paltan , Jaipur Pink Panthers ,33,28,season 4
Patna Pirates , Telugu Titans ,35,33,season 4
U Mumba , Bengal Warriors ,26,18,season 4
Bengaluru Bulls , Puneri Paltan ,29,27,season 4
Telugu Titans , Bengal Warriors ,35,18,season 4
Bengaluru Bulls , Telugu Titans ,30,28,season 4
Jaipur Pink Panthers , Dabang Delhi K.C. ,51,26,season 4
Telugu Titans , U Mumba ,35,30,season 4
Patna Pirates , Bengaluru Bulls ,31,25,season 4
U Mumba , Bengaluru Bulls ,24,23,season 4
Patna Pirates , Bengal Warriors ,35,21,season 4
Puneri Paltan , Bengal Warriors ,38,31,season 4
Dabang Delhi K.C. , Patna Pirates ,33,15,season 4
Telugu Titans , Dabang Delhi K.C. ,28,23,season 4
Jaipur Pink Panthers , Patna Pirates ,26,21,season 4
Telugu Titans , Bengaluru Bulls ,32,24,season 4
Match Tied,,,,season 4
Jaipur Pink Panthers , Bengaluru Bulls ,24,22,season 4
U Mumba , Jaipur Pink Panthers ,29,23,season 4
Patna Pirates , Bengaluru Bulls ,38,23,season 4
Telugu Titans , Puneri Paltan ,32,29,season 4
Dabang Delhi K.C. , Bengaluru Bulls ,40,20,season 4
Bengal Warriors , Jaipur Pink Panthers ,32,25,season 4
Patna Pirates , U Mumba ,34,24,season 4
Jaipur Pink Panthers , Puneri Paltan ,33,27,season 4
Patna Pirates , Bengal Warriors ,33,27,season 4
Match Tied,,,,season 4
Telugu Titans , Dabang Delhi K.C. ,36,28,season 4
Bengaluru Bulls , Bengal Warriors ,27,25,season 4
U Mumba , Puneri Paltan ,34,31,season 4
Jaipur Pink Panthers , Dabang Delhi K.C. ,24,22,season 4
Match Tied,,,,season 4
Jaipur Pink Panthers , Patna Pirates ,29,22,season 4
Bengal Warriors , U Mumba ,31,27,season 4
Patna Pirates , Puneri Paltan ,31,28,season 4
Bengaluru Bulls , U Mumba ,28,27,season 4
Dabang Delhi K.C. , Bengal Warriors ,41,20,season 4
Telugu Titans , Jaipur Pink Panthers ,35,23,season 4
Patna Pirates , Dabang Delhi K.C. ,32,31,season 4
Telugu Titans , Patna Pirates ,46,25,season 4
Puneri Paltan , Dabang Delhi K.C. ,39,34,season 4
Puneri Paltan , Bengaluru Bulls ,36,33,season 4
U Mumba , Dabang Delhi K.C. ,38,34,season 4
Patna Pirates , Puneri Paltan ,37,33,season 4
Jaipur Pink Panthers , Telugu Titans ,34,24,season 4
Puneri Paltan , Telugu Titans ,40,35,season 4
Patna Pirates , Jaipur Pink Panthers ,37,29,season 4
